title,is_negative,negative_labels,negative_labels_count
精神小伙路难走 程哥你狗粮慢点撒,False,,0
晚饭后，运动一下！,False,,0
我平淡无奇，惊艳不了时光，温柔不了岁月，我只想漫无目的的走走，努力发笔小财，给自己买花 自己长大.,False,,0
#搞笑 #感谢快手我要上热门 #五爱市场 这真是完美搭配啊！,False,,0
“你们吵的越狠 他们的手就握的越紧”    #文轩   #刘耀文   #宋亚轩   #顾子璇是樱桃吖   #顾子璇超级喜欢文轩,True,饭圈娱乐,1
记住我的名字还有我带给你的故事.,False,,0
#灵魂属性大揭秘 我变的动物最高级，不接受反驳...,False,,0
#感谢快手官大大送上热门 #感谢推广小助手 #感谢推广小助手助我上热门 #看得起农村人的点个双击吧,False,,0
辰辰是生产高品质裤子的厂家 好的裤子成本并不高 关注我吧 每晚七点 直播间看款式 听价格一件也是出厂价🔥#感谢快手我要上热门 #作品推广 #商家号战疫行动,False,,0
我凡事都能看的开，但并不影响我记仇。 我可以吃十分的苦，但受不了半分的委屈,False,,0
更新了   喜欢的关注更精彩❤️❤️  爱你们#情感视频# #求官方别屏蔽# #官方大大求热门# #求热门# #官方 #,False,,0
看哭！53岁也是爸爸的小宝贝,False,,0
#长高 合集来啦！坚持练习，锻炼身体，提高协调性，促进长高 #育儿正能量分享 #感谢快手官大大送上热门 #感谢快手我要上热门 #提高免疫力,False,,0
#机车女孩 #感谢快手我要上热门,False,,0
“可以往回看 但别往回走…”,False,,0
爱是不是 不开口才珍贵。,False,,0
知道为什么水下的天空更蓝吗？,False,,0
邓紫棋酒店隔离，洗手间大放歌喉。#邓紫棋,False,,0
#三格特效 @罂粟🍒ζ陌子Yξ🔥(O663216644) @罂粟🍒ζ沐子ξ🔥(O419219412),False,,0
这组动作建议不要在男朋友面前做，太丑😭哈哈，不过真的很有效#性感形体 #形体美颈 #我要发光 #快影字幕会说话 #快手全面屏 @快手小助手(O40300112),False,,0
一路长虹,False,,0
不能接受我的全部就别来 我就这样 我还不止这样,False,,0
#汉服 入目无他人，四下皆是你#远山乔汉服,False,,0
镜子前的小妹妹😄😄,False,,0
早安！,False,,0
😄,False,,0
广场舞4步《绕臂》练习#零基础 #快手广场舞 #快手搜索更多广场舞教程,False,,0
哈哈！两个小哥哥下手太狠了！❤️#狗狗的日常 #听说发第二遍会火 #宠物狗 #茶杯犬 #萌宠,False,,0
@Young heben(O580319244) 好家伙,False,,0
这个粉丝投的稿已经很久了，我现在才写是因为我太懒了，今天就给你写啦，热门通知一声o，晚上再更一篇短篇虐转甜的。  #林瑾欢申请上热门 #林瑾欢原创 #林瑾欢,False,,0
#二次元 #我是吃货 #快手推送 #搞笑,False,,0
你存在我深深的脑海里,False,,0
我不知道你是谁！但不要伤害它们！！😡#动物 #小鹿 #爱护动物,False,,0
节目玩的很开心,False,,0
"#爱生活爱官方爱热门 #健身打卡 #健身打卡 #今日份的自拍 #感谢官方大大给的每一次热门 @快手官方大哥@小助手@神秘人   没人知道你的口红是Chanel，Dior，YSL，还是Tom Ford；没人看清你腰上的DG,LV是真是假，钱包里有钱还是有卡；但是你脸大还是脸小，腿粗还是腿细，臀翘不翘，三米之外就看到了。",True,奢靡拜金,1
#宇宙护卫队 #元气轻漫班 想看到彩虹闪电和风暴吗，今天下午五点宇宙护卫队直播间等你哦~,False,,0
#大码女装感谢快手官大大送上热门 #大码女装感谢快手官大大送上热门,False,,0
婚后生活真相：从甜蜜到争吵的转变,False,,0
下辈子我要做你的心脏 #流行手势舞 #快手小助手 #热门 #感谢快手官大大送上热门 #感谢官方大大给的每一次热门,False,,0
单身的关注我，帮你脱单💑  #热门 #征婚,False,,0
#作品推广,False,,0
感谢双击，有喜欢的告诉我你们在哪里呢,False,,0
#健身打卡,False,,0
#今天拍点啥 #蝴蝶结 #支持快手传播正能量 #感谢官方大大给的每一次热门 #一人一首周杰伦,False,,0
我来转给你看   @周同学(O1951804829) #周杰伦喊你玩转篮球 #班巴,False,,0
#与热门擦肩而过 #爱官方爱热门 #糖果语录 #申请热门 #扎心语录情感语录   一位老教授说：如果你爱上一个人  就不会对其他人感兴趣了  如果有  那就不是爱,False,,0
#旧梦一场  小礼物🎁的新歌《小礼物》已上线 感谢支持鼓励🌹#李悟小礼物baby #快手音乐人,False,,0
黎明之前总有一段时间会特别黑暗。,False,,0
##感谢快手官大大送上热门 #快手创业用商家号 我妹说这一锅是送老铁的，不给我吃,False,,0
赶上末班车了么哈哈哈,False,,0
几笔原创艺术性古风，希望大家能喜欢，很简单，几笔就画好 #手绘 #古风 #感谢快手官大大送上热门,False,,0
这儿冷，我带你回家  #劉佳,False,,0
愿所有温柔付出 都有深情回应,False,,0
社恐的真相：自私又懦弱,True,群体歧视,1
这么善良的女孩，要不是有监控，你也许都不会相信,False,,0
不会是你女友,False,,0
小姨子理发超棒,False,,0
听说你们更喜欢看我卸妆的样子？#逆天化妆术 #卸妆,False,,0
心之所想才是心之所向＃感谢官方大大给的热门. #父母的小小心愿 #请允许我自恋一下,False,,0
上火惹无语,False,,0
这我就不得不说了...#暖男先生,False,,0
【女子骑车玩手机不料撞上隔离栏 瞬间脸部着地摔倒】#低头族 #这就尴尬了,False,,0
#感谢快手我要上热门感谢官方大大 洋气小美背🔥,False,,0
#感谢快手我要上热门 #影视道具 #影视拍摄 #影视特效。  感谢🙏支持,False,,0
全是我的错,False,,0
我想象不出到底是个怎样的男孩能让我穿上婚纱 在众人面前幸福地见证我们的爱情 从此收心 柴米油盐酱醋只为他.,False,,0
王者绝非偶然 #2020中高考加油 #感谢快手我要上热门,False,,0
总有人看不起摆摊这种小生意，觉得很丢人没面子，可是你不知道我今天在集市一下午三百杯不够卖的,False,,0
生二胎的三个条件：好的经济条件，体贴上进的老公，靠谱的公婆会帮忙带孩子，如果一样都没占，谁催都别生，不然会崩溃的#产后,False,,0
这样的老公你们喜欢吗？  #搞笑段子 #感谢快手我要上热门,False,,0
#搞笑段子 #搞笑配音 #感谢快手官大大送上热门 #感谢快手正能量绿色平台 #搞笑视频,False,,0
#好物 #感谢快手官大大送上热门 #感谢快手我要上热门 #种草 #好物分享,False,,0
通知！通知！今晚8:40直播🌚嘿嘿嘿#拽姐 #怦然心动 #快手达人挑战赛 #快手颜值大赛 #快手舞蹈大赛,False,,0
我不想做满天星 我想当白桔梗.❤️#扭腰变装 #苹果原相机,False,,0
一一曲欢快的白龙马，家人们跟着我的节奏跳起来吧！,False,,0
看镜头宝宝@依琳老婆.(O238346445) @高雷雷：(O68058812),False,,0
#昼夜连绵 #漫画随便一截都是壁纸 #漫画控必看的漫画 #感谢快手我要上热门感谢官方大大 #我想涨粉丝我想上热门官方大大漫画,False,,0
父亲节闺女送给爸爸的礼物，感动😂😂😂,False,,0
该说不说嫂子是挺厉害？😎,False,,0
👀😄👉,False,,0
#速算技巧 #视频每日更新 #感谢官方大大给的每一次热门 #感谢家人们对我的关注和支持,False,,0
难怪女司机停车都很规范，你家有同款吗？,True,群体歧视,1
社恐让我错过无数机会，后悔莫及,False,,0
麻烦给我的爱墩来一杯摸鸡头~ #周杰伦新歌Mojito #虎墩,False,,0
听说打出“xwz”可以测试你是不是正经人🥴#jk #临沂 #热门,True,色情擦边,1
好久不见十分想念@小花花☘️(O543794419),False,,0
陈都灵来化妆拍戏啦。,False,,0
特别喜欢村上春树的一句话：“不必纠结当下 也不必太担忧未来 人生没有无用的经历 所以我们一直走 天一定会亮”。 #情感文字视频 #快手九周年 #快手全面屏 #情定三生 #感谢快手我要上热门,False,,0
别人希望你名声四起 我只希望你一路平安,False,,0
#感谢快手我要上热门 #创造营2020 #鹿晗,False,,0
我宣布，今天只要关注了的朋友，生意啥困难，实体店问题，我能拉的都拉一把，我说到做到，吐字为钉#努力的96年小姐姐 #广东 #创业 #今天拍点啥 #新人求关注 @今天拍点啥(O840386039),False,,0
好像听到了我爱你 原声#原相机,False,,0
用半张饺子皮就能包馄饨简单漂亮，又省事，喜欢赶快动手试试吧。#快手九周年 #爱官方爱热门支持快手传播正能量,False,,0
艾特出来看看？ #故北文字,False,,0
#,False,,0
别问拍了多久，问就是拍了一个G内存,False,,0
#国标舞蹈生 #slomo慢动作 我又来了,False,,0
今天不教你们压弯过几天  #中国摩博会 #ClMA骑士,False,,0
怎么开心怎么来～  #热门 #娇娇小课堂 #快手舞蹈  #感谢官方大大给的每一次热门  #感谢快手官大大送上热门,False,,0
一岁娃被锁车内，母亲坚持“再等等”，民警怒吼强行砸窗救人,False,,0
#感谢快手我要上热门 #漫展 #二次元 #cosplay #王者荣耀 喜欢吗😘,False,,0
看小熊吃瘪，我心里怎么就这么开心呢？,False,,0
#房产小知识 #投资房产 #房产那些事 #今天拍点啥 #推广小助手 #作品推广,False,,0
很多人大姨妈量少，有血块而犯愁，大多数是因为体寒淤堵而造成，可以练习这个动作，让大姨妈来得更畅通！ #女性 #床上瑜伽 #我要上热门儿 #减肥瑜伽教程 #副乳怎么瘦,False,,0
北京启用三大果蔬进京中转站，已调运蔬菜超万吨,False,,0
干活,False,,0
哈哈哈跑出一股偷菜贼的感觉,False,,0
樱珠芽接技术，成活率极高，您看懂了吗？ #嫁接技术 #感谢快手我要上热门,False,,0
#搞笑 #搞笑配音,False,,0
太好看了#快手助手上热门,False,,0
